timestamp,x,y,z
2025-03-19T16:09:59.104564,-0.37,0.24,0.31
2025-03-19T16:09:59.513567,-0.31,0.18,0.31
2025-03-19T16:10:00.025410,-0.49,0.18,0.24
2025-03-19T16:10:00.539784,-0.24,0.18,0.37
2025-03-19T16:10:01.153064,-0.43,0.18,0.37
2025-03-19T16:10:01.563481,-0.43,0.18,0.31
2025-03-19T16:10:02.074811,-0.37,0.18,0.31
2025-03-19T16:10:02.484246,-0.24,0.24,0.37
2025-03-19T16:10:02.996200,-0.49,0.18,0.31
2025-03-19T16:10:03.531862,-0.18,0.18,0.37
2025-03-19T16:10:04.031781,-0.55,0.24,0.31
2025-03-19T16:10:04.556418,-0.12,0.12,0.31
2025-03-19T16:10:05.070606,-0.31,0.18,0.37
2025-03-19T16:10:05.581127,-0.55,0.24,0.31
2025-03-19T16:10:06.098645,-0.31,0.18,0.31
2025-03-19T16:10:06.506139,-0.18,0.06,0.31
2025-03-19T16:10:07.091527,-0.43,0.18,0.31
2025-03-19T16:10:07.532088,-0.43,0.24,0.31
2025-03-19T16:10:08.116209,-0.24,0.18,0.37
2025-03-19T16:10:08.555525,-0.49,0.18,0.24
2025-03-19T16:10:09.141444,-0.31,0.12,0.31
2025-03-19T16:10:09.570796,-0.43,0.24,0.31
2025-03-19T16:10:10.162761,-0.37,0.18,0.24
2025-03-19T16:10:10.592743,-0.43,0.18,0.24
2025-03-19T16:10:11.099833,-0.43,0.18,0.31
2025-03-19T16:10:11.613008,-0.37,0.18,0.24
2025-03-19T16:10:12.113678,-0.55,0.18,0.18
2025-03-19T16:10:12.640863,-0.43,0.18,0.31
2025-03-19T16:10:13.134332,-0.43,0.18,0.31
2025-03-19T16:10:13.645052,-0.49,0.18,0.31
2025-03-19T16:10:14.054505,-0.55,0.18,0.24
2025-03-19T16:10:14.579148,-0.37,0.24,0.31
2025-03-19T16:10:15.082211,-0.55,0.18,0.24
2025-03-19T16:10:15.605350,-0.55,0.24,0.31
2025-03-19T16:10:16.107405,-0.37,0.18,0.31
2025-03-19T16:10:16.637800,-0.49,0.18,0.24
2025-03-19T16:10:17.141229,-0.24,0.18,0.31
2025-03-19T16:10:17.662268,-0.37,0.12,0.31
2025-03-19T16:10:18.168931,-0.31,0.0,0.37
2025-03-19T16:10:18.675952,-0.61,0.24,0.12
2025-03-19T16:10:19.201474,-0.24,0.24,0.37
2025-03-19T16:10:19.697072,-0.49,0.24,0.24
2025-03-19T16:10:20.216800,-0.55,0.18,0.24
2025-03-19T16:10:20.813462,-0.37,0.24,0.31
2025-03-19T16:10:21.222506,-0.12,0.18,0.43
2025-03-19T16:10:21.641425,-0.43,0.18,0.31
2025-03-19T16:10:22.170450,-0.37,0.24,0.24
2025-03-19T16:10:22.757778,-0.55,0.18,0.24
2025-03-19T16:10:23.270457,-0.73,0.18,0.24
2025-03-19T16:10:23.688181,-0.24,0.12,0.31
2025-03-19T16:10:24.192182,-0.37,0.18,0.31
2025-03-19T16:10:24.703613,-0.55,0.24,0.31
2025-03-19T16:10:25.242487,-0.43,0.18,0.31
2025-03-19T16:10:25.742748,-0.31,0.18,0.37
2025-03-19T16:10:26.249913,-0.49,0.18,0.24
2025-03-19T16:10:26.764786,-0.31,0.18,0.37
2025-03-19T16:10:27.289436,-0.43,0.18,0.31
2025-03-19T16:10:27.785950,-0.61,0.24,0.24
2025-03-19T16:10:28.307608,-0.37,0.24,0.31
2025-03-19T16:10:28.827043,-0.49,0.18,0.31
2025-03-19T16:10:29.232243,-0.49,0.18,0.24
2025-03-19T16:10:29.725453,-0.37,0.18,0.31
2025-03-19T16:10:30.253731,-0.49,0.24,0.31
2025-03-19T16:10:30.847757,-0.31,0.18,0.37
2025-03-19T16:10:31.359930,-0.37,0.18,0.31
2025-03-19T16:10:31.776344,-0.37,0.24,0.37
2025-03-19T16:10:32.309466,-0.31,0.18,0.37
2025-03-19T16:10:32.822897,-0.49,0.18,0.24
2025-03-19T16:10:33.317030,-0.37,0.24,0.31
2025-03-19T16:10:33.834002,-0.31,0.18,0.37
2025-03-19T16:10:34.363126,-0.43,0.18,0.31
2025-03-19T16:10:34.841980,-0.31,0.24,0.37
2025-03-19T16:10:35.354325,-0.24,0.18,0.37
2025-03-19T16:10:35.878403,-0.49,0.18,0.24
2025-03-19T16:10:36.293986,-0.55,0.18,0.24
2025-03-19T16:10:36.786790,-0.24,0.18,0.31
2025-03-19T16:10:37.299251,-0.55,0.18,0.24
2025-03-19T16:10:37.830531,-0.61,0.18,0.18
2025-03-19T16:10:38.339308,-0.49,0.18,0.24
