Timestamp,Value,Type
9:08:28 PM.958,"Distance: 26.35 cm\r\n",received
9:08:30 PM.988,"Distance: 25.26 cm\r\n",received
9:08:33 PM.15,"Distance: 27.78 cm\r\n",received
9:08:35 PM.53,"Distance: 178.79 cm\r\n",received
9:08:37 PM.78,"Distance: 28.15 cm\r\n",received
9:08:39 PM.116,"Distance: 29.00 cm\r\n",received
9:08:41 PM.150,"Distance: 27.32 cm\r\n",received
9:08:43 PM.182,"Distance: 25.19 cm\r\n",received
9:08:45 PM.209,"Distance: 28.65 cm\r\n",received
9:08:47 PM.238,"Distance: 26.84 cm\r\n",received
9:08:49 PM.277,"Distance: 25.28 cm\r\n",received
9:08:51 PM.318,"Distance: 178.65 cm\r\n",received
9:08:53 PM.351,"Distance: 178.76 cm\r\n",received
9:08:55 PM.388,"Distance: 25.28 cm\r\n",received
9:08:57 PM.422,"Distance: 28.88 cm\r\n",received
9:08:59 PM.458,"Distance: 28.05 cm\r\n",received
9:09:01 PM.480,"Distance: 24.77 cm\r\n",received
9:09:03 PM.518,"Distance: 26.91 cm\r\n",received
9:09:05 PM.541,"Distance: 28.87 cm\r\n",received
9:09:07 PM.575,"Distance: 25.28 cm\r\n",received
9:09:09 PM.595,"Distance: 25.19 cm\r\n",received
9:09:11 PM.649,"Distance: 28.15 cm\r\n",received
9:09:13 PM.672,"Distance: 27.71 cm\r\n",received
9:09:15 PM.704,"Distance: 25.19 cm\r\n",received
9:09:17 PM.734,"Distance: 25.19 cm\r\n",received
9:09:19 PM.774,"Distance: 28.90 cm\r\n",received
9:09:21 PM.780,"Distance: 28.03 cm\r\n",received
9:09:23 PM.826,"Distance: 178.19 cm\r\n",received
9:09:25 PM.867,"Distance: 28.51 cm\r\n",received
9:09:27 PM.901,"Distance: 27.81 cm\r\n",received
9:09:29 PM.927,"Distance: 26.42 cm\r\n",received
9:09:31 PM.963,"Distance: 28.05 cm\r\n",received
9:09:33 PM.988,"Distance: 28.05 cm\r\n",received
9:09:36 PM.18,"Distance: 27.30 cm\r\n",received
9:09:39 PM.834,"Distance: 26.08 cm\r\n",received
9:09:40 PM.84,"Distance: 28.92 cm\r\n",received
9:09:42 PM.121,"Distance: 25.26 cm\r\n",received
9:09:44 PM.150,"Distance: 28.92 cm\r\n",received
9:09:46 PM.183,"Distance: 178.30 cm\r\n",received
9:09:48 PM.213,"Distance: 24.29 cm\r\n",received
9:09:50 PM.246,"Distance: 24.43 cm\r\n",received
9:09:52 PM.279,"Distance: 27.69 cm\r\n",received
9:09:54 PM.314,"Distance: 26.94 cm\r\n",received
9:09:56 PM.343,"Distance: 24.45 cm\r\n",received
9:09:58 PM.373,"Distance: 27.22 cm\r\n",received
9:10:00 PM.408,"Distance: 178.72 cm\r\n",received
9:10:02 PM.441,"Distance: 28.90 cm\r\n",received
9:10:04 PM.464,"Distance: 24.43 cm\r\n",received
9:10:06 PM.504,"Distance: 24.94 cm\r\n",received
9:10:08 PM.540,"Distance: 25.98 cm\r\n",received
9:10:10 PM.569,"Distance: 24.33 cm\r\n",received
9:10:12 PM.602,"Distance: 27.18 cm\r\n",received
9:10:14 PM.634,"Distance: 24.29 cm\r\n",received
9:10:16 PM.659,"Distance: 25.14 cm\r\n",received
9:10:18 PM.690,"Distance: 26.93 cm\r\n",received
9:10:20 PM.706,"Distance: 26.09 cm\r\n",received
9:10:22 PM.750,"Distance: 27.18 cm\r\n",received
9:10:24 PM.777,"Distance: 28.19 cm\r\n",received
9:10:26 PM.811,"Distance: 28.05 cm\r\n",received
9:10:28 PM.834,"Distance: 26.32 cm\r\n",received
9:10:30 PM.869,"Distance: 24.92 cm\r\n",received
9:10:32 PM.911,"Distance: 27.66 cm\r\n",received
9:10:34 PM.939,"Distance: 24.28 cm\r\n",received
9:10:36 PM.965,"Distance: 24.40 cm\r\n",received
9:10:38 PM.998,"Distance: 28.88 cm\r\n",received
9:10:41 PM.26,"Distance: 24.45 cm\r\n",received
9:10:43 PM.63,"Distance: 27.68 cm\r\n",received
9:10:45 PM.103,"Distance: 27.68 cm\r\n",received
9:10:47 PM.128,"Distance: 25.16 cm\r\n",received
9:10:49 PM.145,"Distance: 24.41 cm\r\n",received
9:10:51 PM.187,"Distance: 25.18 cm\r\n",received
9:10:53 PM.227,"Distance: 24.29 cm\r\n",received
9:10:55 PM.250,"Distance: 25.09 cm\r\n",received
9:10:57 PM.265,"Distance: 27.68 cm\r\n",received
9:10:59 PM.301,"Distance: 24.43 cm\r\n",received
9:11:01 PM.356,"Distance: 25.87 cm\r\n",received
9:11:03 PM.360,"Distance: 27.47 cm\r\n",received
9:11:05 PM.399,"Distance: 24.62 cm\r\n",received
9:11:07 PM.439,"Distance: 24.50 cm\r\n",received
9:11:09 PM.460,"Distance: 24.50 cm\r\n",received
9:11:11 PM.496,"Distance: 25.84 cm\r\n",received
9:11:13 PM.534,"Distance: 25.74 cm\r\n",received
9:11:15 PM.559,"Distance: 25.02 cm\r\n",received
9:11:17 PM.574,"Distance: 25.87 cm\r\n",received
9:11:19 PM.605,"Distance: 25.36 cm\r\n",received
9:11:21 PM.660,"Distance: 25.42 cm\r\n",received
9:11:23 PM.693,"Distance: 25.87 cm\r\n",received
9:11:25 PM.708,"Distance: 25.74 cm\r\n",received
9:11:27 PM.741,"Distance: 26.74 cm\r\n",received
9:11:29 PM.772,"Distance: 26.62 cm\r\n",received
9:11:31 PM.794,"Distance: 27.23 cm\r\n",received
9:11:33 PM.840,"Distance: 25.36 cm\r\n",received
9:11:35 PM.857,"Distance: 25.02 cm\r\n",received
9:11:37 PM.891,"Distance: 24.00 cm\r\n",received
9:11:39 PM.930,"Distance: 25.02 cm\r\n",received
9:11:41 PM.972,"Distance: 26.60 cm\r\n",received
9:11:43 PM.991,"Distance: 25.50 cm\r\n",received
9:11:46 PM.27,"Distance: 27.20 cm\r\n",received
9:11:48 PM.62,"Distance: 27.47 cm\r\n",received
9:11:50 PM.89,"Distance: 27.61 cm\r\n",received
9:11:52 PM.118,"Distance: 27.47 cm\r\n",received
9:11:54 PM.156,"Distance: 26.62 cm\r\n",received
9:11:56 PM.182,"Distance: 24.60 cm\r\n",received
9:11:58 PM.218,"Distance: 25.36 cm\r\n",received
9:12:00 PM.252,"Distance: 24.97 cm\r\n",received
9:12:02 PM.283,"Distance: 24.74 cm\r\n",received
9:12:04 PM.308,"Distance: 27.47 cm\r\n",received
9:12:06 PM.348,"Distance: 24.87 cm\r\n",received
9:12:08 PM.381,"Distance: 25.40 cm\r\n",received
9:12:10 PM.405,"Distance: 25.48 cm\r\n",received
9:12:12 PM.441,"Distance: 27.45 cm\r\n",received
9:12:14 PM.463,"Distance: 24.62 cm\r\n",received
9:12:16 PM.485,"Distance: 26.76 cm\r\n",received
9:12:18 PM.535,"Distance: 25.02 cm\r\n",received
9:12:20 PM.559,"Distance: 25.50 cm\r\n",received
9:12:22 PM.597,"Distance: 27.20 cm\r\n",received
9:12:24 PM.638,"Distance: 26.35 cm\r\n",received
9:12:26 PM.642,"Distance: 24.87 cm\r\n",received
9:12:28 PM.686,"Distance: 25.77 cm\r\n",received
9:12:30 PM.719,"Distance: 25.86 cm\r\n",received
9:12:32 PM.741,"Distance: 27.47 cm\r\n",received
9:12:34 PM.783,"Distance: 26.26 cm\r\n",received
9:12:36 PM.805,"Distance: 25.48 cm\r\n",received
9:12:38 PM.845,"Distance: 26.64 cm\r\n",received
9:12:40 PM.866,"Distance: 25.77 cm\r\n",received
9:12:42 PM.905,"Distance: 26.71 cm\r\n",received
9:12:44 PM.930,"Distance: 26.64 cm\r\n",received
9:12:46 PM.970,"Distance: 26.33 cm\r\n",received
9:12:48 PM.994,"Distance: 26.25 cm\r\n",received
9:12:51 PM.36,"Distance: 26.71 cm\r\n",received
9:12:53 PM.63,"Distance: 25.77 cm\r\n",received
9:12:55 PM.98,"Distance: 26.71 cm\r\n",received
9:12:57 PM.113,"Distance: 26.64 cm\r\n",received
9:12:59 PM.155,"Distance: 25.48 cm\r\n",received
9:13:01 PM.191,"Distance: 25.40 cm\r\n",received
9:13:03 PM.217,"Distance: 24.97 cm\r\n",received
9:13:05 PM.257,"Distance: 26.71 cm\r\n",received
9:13:07 PM.275,"Distance: 24.87 cm\r\n",received
9:13:09 PM.301,"Distance: 25.74 cm\r\n",received
9:13:11 PM.336,"Distance: 25.36 cm\r\n",received
9:13:13 PM.386,"Distance: 24.87 cm\r\n",received
9:13:15 PM.393,"Distance: 25.86 cm\r\n",received
9:13:17 PM.434,"Distance: 25.89 cm\r\n",received
9:13:19 PM.463,"Distance: 26.74 cm\r\n",received
9:13:21 PM.491,"Distance: 27.57 cm\r\n",received
9:13:23 PM.526,"Distance: 26.33 cm\r\n",received
9:13:25 PM.556,"Distance: 26.23 cm\r\n",received
9:13:27 PM.588,"Distance: 27.47 cm\r\n",received
9:13:29 PM.610,"Distance: 25.74 cm\r\n",received
9:13:31 PM.641,"Distance: 25.74 cm\r\n",received
9:13:33 PM.681,"Distance: 25.74 cm\r\n",received
9:13:35 PM.721,"Distance: 26.03 cm\r\n",received
9:13:37 PM.741,"Distance: 26.52 cm\r\n",received
9:13:39 PM.762,"Distance: 26.89 cm\r\n",received
9:13:41 PM.798,"Distance: 26.89 cm\r\n",received
9:13:43 PM.833,"Distance: 26.88 cm\r\n",received
9:13:45 PM.860,"Distance: 178.67 cm\r\n",received
9:13:47 PM.913,"Distance: 178.72 cm\r\n",received
9:13:49 PM.955,"Distance: 179.18 cm\r\n",received
9:13:51 PM.987,"Distance: 179.25 cm\r\n",received
9:13:54 PM.33,"Distance: 26.50 cm\r\n",received
9:13:56 PM.59,"Distance: 178.74 cm\r\n",received
9:13:58 PM.101,"Distance: 178.24 cm\r\n",received
9:14:00 PM.140,"Distance: 26.89 cm\r\n",received
9:14:02 PM.176,"Distance: 27.03 cm\r\n",received
9:14:04 PM.214,"Distance: 178.72 cm\r\n",received
9:14:06 PM.253,"Distance: 27.03 cm\r\n",received
9:14:08 PM.275,"Distance: 179.23 cm\r\n",received
