Timestamp,Value,Type
9:20:39 PM.490,"Distance: 178.91 cm\r\n",received
9:20:41 PM.532,"Distance: 178.81 cm\r\n",received
9:20:43 PM.574,"Distance: 178.87 cm\r\n",received
9:20:45 PM.602,"Distance: 178.86 cm\r\n",received
9:20:47 PM.649,"Distance: 178.81 cm\r\n",received
9:20:49 PM.689,"Distance: 178.79 cm\r\n",received
9:20:51 PM.717,"Distance: 28.63 cm\r\n",received
9:20:53 PM.773,"Distance: 178.89 cm\r\n",received
9:20:55 PM.799,"Distance: 178.77 cm\r\n",received
9:20:57 PM.846,"Distance: 178.79 cm\r\n",received
9:20:59 PM.882,"Distance: 179.21 cm\r\n",received
9:21:01 PM.916,"Distance: 26.88 cm\r\n",received
9:21:03 PM.951,"Distance: 27.00 cm\r\n",received
9:21:05 PM.972,"Distance: 28.61 cm\r\n",received
9:21:08 PM.24,"Distance: 179.33 cm\r\n",received
9:21:10 PM.63,"Distance: 26.50 cm\r\n",received
9:21:12 PM.68,"Distance: 27.74 cm\r\n",received
9:21:14 PM.104,"Distance: 25.87 cm\r\n",received
9:21:16 PM.142,"Distance: 28.71 cm\r\n",received
9:21:18 PM.180,"Distance: 28.65 cm\r\n",received
9:21:20 PM.402,"Distance: 29.58 cm\r\n",received
9:21:22 PM.225,"Distance: 27.01 cm\r\n",received
9:21:24 PM.261,"Distance: 28.73 cm\r\n",received
9:21:26 PM.301,"Distance: 179.25 cm\r\n",received
9:21:28 PM.347,"Distance: 26.91 cm\r\n",received
