x,y,z,timestamp
-0.49,0.18,0.24,1742367798.1343555
-0.73,0.24,0.37,1742367798.6453097
-0.55,0.06,0.24,1742367799.1609225
-0.43,0.24,0.24,1742367799.669483
-0.49,0.12,0.24,1742367800.1821094
-0.43,0.12,0.18,1742367800.6944568
-0.67,0.12,0.24,1742367801.206173
-1.77,-0.85,1.34,1742367801.7169676
-0.73,0.06,0.24,1742367802.2316542
-0.61,0.0,0.24,1742367802.6408994
-0.37,0.12,0.24,1742367803.1507585
-0.92,0.18,0.31,1742367803.6632466
-0.73,0.67,0.37,1742367804.1750157
1.83,-0.12,4.64,1742367804.6870043
-0.67,0.06,0.31,1742367805.199563
-0.43,0.31,0.31,1742367805.7118762
-3.11,-0.31,-4.21,1742367806.2239747
-0.49,0.67,-0.06,1742367806.7452457
-0.85,-0.12,-0.24,1742367807.2467554
-0.61,0.18,0.24,1742367807.7603006
-0.31,0.18,0.37,1742367808.27246
-0.43,0.12,0.31,1742367808.789336
-0.55,0.12,0.31,1742367809.2956176
-0.37,0.12,0.31,1742367809.8080187
-0.61,0.18,0.18,1742367810.216346
-0.49,0.06,0.18,1742367810.7310617
-0.61,0.12,0.24,1742367811.2405756
-0.55,0.12,0.24,1742367811.7534559
-0.49,0.06,0.24,1742367812.2643957
-0.49,0.12,0.18,1742367812.77757
-0.61,0.06,0.31,1742367813.2885487
-0.55,0.06,0.18,1742367813.801941
-0.49,0.12,0.31,1742367814.312208
-0.61,0.12,0.24,1742367814.8262453
-0.49,0.18,0.24,1742367815.3390825
-0.55,0.06,0.06,1742367815.8486712
-0.06,0.49,0.18,1742367816.3630142
-0.49,0.12,0.24,1742367818.8199456
-0.43,0.12,0.24,1742367819.1269033
-0.61,0.18,0.12,1742367819.2296996
-0.31,0.24,0.18,1742367819.3314583
-0.55,0.06,0.24,1742367819.4348223
-0.43,0.12,0.24,1742367819.5364993
-0.49,0.06,0.18,1742367819.8426688
-0.49,0.12,0.24,1742367820.3543115
-0.49,0.06,0.24,1742367820.8675215
-0.43,0.12,0.24,1742367821.3783572
-0.49,0.12,0.24,1742367821.8899465
-0.43,0.06,0.24,1742367822.4044094
-0.49,0.12,0.24,1742367822.9139833
-0.37,0.12,0.24,1742367823.427489
-0.43,0.12,0.24,1742367823.938058
-0.43,0.06,0.24,1742367824.3488503
-0.37,0.06,0.24,1742367824.8612943
-0.43,0.12,0.18,1742367825.3719695
-0.43,0.12,0.24,1742367825.884759
-0.37,0.06,0.24,1742367826.397037
-0.43,0.12,0.24,1742367826.9103441
-0.49,0.06,0.24,1742367827.42167
-0.37,0.12,0.24,1742367827.9316692
-0.49,0.12,0.24,1742367828.4448416
-0.55,0.12,0.24,1742367828.9568279
-0.43,0.06,0.24,1742367829.4704986
-0.49,0.12,0.24,1742367829.979712
-0.61,0.12,0.24,1742367830.49222
-0.49,0.12,0.24,1742367831.00377
-0.55,0.12,0.24,1742367831.4146388
-0.55,0.12,0.24,1742367831.9252324
-0.55,0.12,0.18,1742367832.438524
-0.55,0.12,0.24,1742367832.950697
-0.61,0.12,0.24,1742367835.320739
-0.55,0.12,0.24,1742367835.4076288
-0.55,0.12,0.24,1742367835.5102715
-0.55,0.12,0.24,1742367835.6134827
-0.43,0.12,0.24,1742367835.7150404
-0.55,0.12,0.24,1742367836.0208812
-0.61,0.12,0.18,1742367836.5338285
-0.55,0.12,0.24,1742367837.0481472
-0.61,0.12,0.24,1742367837.5575035
-0.49,0.12,0.24,1742367838.0692744
-0.43,0.12,0.24,1742367838.5809565
-0.61,0.12,0.18,1742367839.0948293
-0.55,0.12,0.24,1742367839.5029082
-0.49,0.12,0.24,1742367840.016201
-0.55,0.12,0.24,1742367840.5270255
-0.55,0.12,0.24,1742367841.0559597
-0.49,0.06,0.24,1742367841.552358
-0.49,0.12,0.24,1742367842.0630023
-0.49,0.06,0.24,1742367842.577057
-0.43,0.06,0.18,1742367843.086906
-0.55,0.06,0.24,1742367843.5988975
-0.55,0.12,0.24,1742367844.112076
-0.49,0.12,0.24,1742367844.6252468
-0.55,0.12,0.18,1742367845.135214
-0.49,0.12,0.24,1742367845.6469247
-0.43,0.12,0.18,1742367846.159757
-0.49,0.12,0.24,1742367846.5706558
-0.43,0.12,0.18,1742367847.0817707
-0.37,0.12,0.24,1742367847.5948384
-0.49,0.06,0.18,1742367848.1058378
-0.43,0.12,0.18,1742367848.6269252
-0.43,0.12,0.24,1742367849.1287472
-0.37,0.06,0.24,1742367849.6416497
-0.43,0.12,0.24,1742367850.153919
-0.49,0.06,0.24,1742367850.6713142
-0.43,0.12,0.24,1742367851.1777883
-0.43,0.06,0.24,1742367851.6884778
-0.43,0.12,0.18,1742367852.201732
-0.43,0.12,0.24,1742367852.713166
-0.43,0.06,0.18,1742367853.2245321
-0.43,0.06,0.24,1742367853.6349838
-0.49,0.18,0.24,1742367854.1465683
-0.43,0.12,0.24,1742367856.2969196
-0.37,0.06,0.24,1742367856.4006698
-0.49,0.12,0.24,1742367856.5051823
-0.37,0.12,0.24,1742367856.60428
-0.49,0.06,0.24,1742367856.7073476
-0.49,0.12,0.24,1742367857.2183063
-0.43,0.12,0.24,1742367857.7301645
-0.49,0.12,0.24,1742367858.2427392
-0.43,0.12,0.24,1742367858.7543962
-0.43,0.06,0.24,1742367859.26883
-0.49,0.12,0.24,1742367859.7776628
-0.49,0.12,0.24,1742367860.2903013
-0.43,0.06,0.24,1742367860.7001677
-0.55,0.06,0.24,1742367861.2126324
-0.49,0.12,0.24,1742367862.1334987
-0.43,0.06,0.24,1742367862.4416192
-0.43,0.12,0.24,1742367862.8525977
-0.55,0.12,0.24,1742367863.261243
-0.43,0.12,0.24,1742367863.7715316
-0.43,0.12,0.24,1742367864.2843747
-0.61,0.18,0.24,1742367864.7979434
-0.37,0.12,0.24,1742367865.307793
-0.43,0.06,0.24,1742367865.8196642
-0.49,0.12,0.24,1742367866.332236
-0.49,0.12,0.24,1742367866.8451676
-0.49,0.12,0.24,1742367867.3584628
-0.49,0.12,0.24,1742367867.8677392
-0.43,0.06,0.24,1742367868.2784247
-0.43,0.12,0.24,1742367868.789138
-0.49,0.12,0.18,1742367869.3025112
-0.49,0.12,0.24,1742367869.8136272
-0.43,0.12,0.24,1742367870.3263285
-0.43,0.12,0.24,1742367870.8390567
-0.49,0.06,0.18,1742367871.3495302
-0.43,0.12,0.18,1742367871.8624144
-0.49,0.12,0.24,1742367872.374718
-0.61,0.12,0.18,1742367872.8858805
-0.43,0.06,0.18,1742367873.3974595
-0.49,0.12,0.24,1742367873.9094489
-0.49,0.12,0.24,1742367874.4219625
-0.37,0.12,0.24,1742367874.9348562
-0.49,0.12,0.24,1742367875.3431244
-0.49,0.12,0.18,1742367875.855693
-0.73,-0.12,0.37,1742367876.3676753
-0.73,-0.12,0.12,1742367876.8802443
-0.49,0.18,0.31,1742367877.8016973
-0.43,0.12,0.24,1742367878.107885
-0.55,0.06,0.18,1742367878.4150472
-0.98,-0.06,0.18,1742367878.9274874
-0.18,0.49,0.24,1742367879.4391177
-0.49,0.18,0.24,1742367879.9520497
-0.61,0.06,0.24,1742367880.4649312
-0.55,0.18,0.24,1742367880.974658
-0.43,0.06,0.31,1742367881.4867835
-0.55,0.06,0.18,1742367881.9997883
-0.18,0.06,0.24,1742367882.4101427
-0.43,0.18,0.31,1742367882.920432
-0.67,0.06,0.24,1742367883.4369292
-0.43,0.0,0.18,1742367883.94591
-0.43,0.06,0.18,1742367884.4574223
-0.67,-0.06,0.18,1742367884.9707992
-0.43,0.12,0.24,1742367885.4806285
-0.55,0.06,0.18,1742367885.9925437
-0.43,0.12,0.18,1742367886.5058978
